ArrayMulti,1024,8,128,0.021141
ArrayMultiAdd,1024,8,128,0.020602
ArrayMultiReduce,1024,8,128,0.022176
ArrayMulti,1024,16,64,0.020313
ArrayMultiAdd,1024,16,64,0.021576
ArrayMultiReduce,1024,16,64,0.020841
ArrayMulti,1024,32,32,0.020639
ArrayMultiAdd,1024,32,32,0.021228
ArrayMultiReduce,1024,32,32,0.020616
ArrayMulti,1024,64,16,0.017550
ArrayMultiAdd,1024,64,16,0.021955
ArrayMultiReduce,1024,64,16,0.021225
ArrayMulti,1024,128,8,0.020077
ArrayMultiAdd,1024,128,8,0.021583
ArrayMultiReduce,1024,128,8,0.019897
ArrayMulti,1024,256,4,0.021402
ArrayMultiAdd,1024,256,4,0.020888
ArrayMultiReduce,1024,256,4,0.019733
ArrayMulti,1024,512,2,0.020994
ArrayMultiAdd,1024,512,2,0.022062
ArrayMultiReduce,1024,512,2,0.019880
ArrayMulti,1024,1024,1,0.020322
ArrayMultiAdd,1024,1024,1,0.020483
ArrayMultiReduce,1024,1024,1,0.019755
ArrayMulti,2048,8,256,0.041230
ArrayMultiAdd,2048,8,256,0.043321
ArrayMultiReduce,2048,8,256,0.039945
ArrayMulti,2048,16,128,0.038730
ArrayMultiAdd,2048,16,128,0.042209
ArrayMultiReduce,2048,16,128,0.040426
ArrayMulti,2048,32,64,0.037934
ArrayMultiAdd,2048,32,64,0.039528
ArrayMultiReduce,2048,32,64,0.040173
ArrayMulti,2048,64,32,0.039036
ArrayMultiAdd,2048,64,32,0.041837
ArrayMultiReduce,2048,64,32,0.037010
ArrayMulti,2048,128,16,0.040285
ArrayMultiAdd,2048,128,16,0.040736
ArrayMultiReduce,2048,128,16,0.038862
ArrayMulti,2048,256,8,0.039015
ArrayMultiAdd,2048,256,8,0.042309
ArrayMultiReduce,2048,256,8,0.039714
ArrayMulti,2048,512,4,0.040064
ArrayMultiAdd,2048,512,4,0.041679
ArrayMultiReduce,2048,512,4,0.038701
ArrayMulti,2048,1024,2,0.040911
ArrayMultiAdd,2048,1024,2,0.042107
ArrayMultiReduce,2048,1024,2,0.037694
ArrayMulti,4096,8,512,0.079773
ArrayMultiAdd,4096,8,512,0.083568
ArrayMultiReduce,4096,8,512,0.077365
ArrayMulti,4096,16,256,0.084537
ArrayMultiAdd,4096,16,256,0.084916
ArrayMultiReduce,4096,16,256,0.082150
ArrayMulti,4096,32,128,0.084789
ArrayMultiAdd,4096,32,128,0.087854
ArrayMultiReduce,4096,32,128,0.083411
ArrayMulti,4096,64,64,0.086166
ArrayMultiAdd,4096,64,64,0.087763
ArrayMultiReduce,4096,64,64,0.085838
ArrayMulti,4096,128,32,0.084756
ArrayMultiAdd,4096,128,32,0.084733
ArrayMultiReduce,4096,128,32,0.081443
ArrayMulti,4096,256,16,0.082851
ArrayMultiAdd,4096,256,16,0.086997
ArrayMultiReduce,4096,256,16,0.081701
ArrayMulti,4096,512,8,0.078967
ArrayMultiAdd,4096,512,8,0.085892
ArrayMultiReduce,4096,512,8,0.075744
ArrayMulti,4096,1024,4,0.080385
ArrayMultiAdd,4096,1024,4,0.082138
ArrayMultiReduce,4096,1024,4,0.073450
ArrayMulti,8192,8,1024,0.148503
ArrayMultiAdd,8192,8,1024,0.150929
ArrayMultiReduce,8192,8,1024,0.140928
ArrayMulti,8192,16,512,0.156791
ArrayMultiAdd,8192,16,512,0.162520
ArrayMultiReduce,8192,16,512,0.153939
ArrayMulti,8192,32,256,0.149716
ArrayMultiAdd,8192,32,256,0.165502
ArrayMultiReduce,8192,32,256,0.158116
ArrayMulti,8192,64,128,0.155667
ArrayMultiAdd,8192,64,128,0.164116
ArrayMultiReduce,8192,64,128,0.158135
ArrayMulti,8192,128,64,0.164978
ArrayMultiAdd,8192,128,64,0.171048
ArrayMultiReduce,8192,128,64,0.156767
ArrayMulti,8192,256,32,0.145840
ArrayMultiAdd,8192,256,32,0.172340
ArrayMultiReduce,8192,256,32,0.142465
ArrayMulti,8192,512,16,0.154776
ArrayMultiAdd,8192,512,16,0.169326
ArrayMultiReduce,8192,512,16,0.157212
ArrayMulti,8192,1024,8,0.164119
ArrayMultiAdd,8192,1024,8,0.176994
ArrayMultiReduce,8192,1024,8,0.153351
ArrayMulti,16384,8,2048,0.283765
ArrayMultiAdd,16384,8,2048,0.286384
ArrayMultiReduce,16384,8,2048,0.248615
ArrayMulti,16384,16,1024,0.297783
ArrayMultiAdd,16384,16,1024,0.294163
ArrayMultiReduce,16384,16,1024,0.252863
ArrayMulti,16384,32,512,0.331781
ArrayMultiAdd,16384,32,512,0.318507
ArrayMultiReduce,16384,32,512,0.304694
ArrayMulti,16384,64,256,0.281251
ArrayMultiAdd,16384,64,256,0.301431
ArrayMultiReduce,16384,64,256,0.293431
ArrayMulti,16384,128,128,0.289854
ArrayMultiAdd,16384,128,128,0.329870
ArrayMultiReduce,16384,128,128,0.308893
ArrayMulti,16384,256,64,0.314847
ArrayMultiAdd,16384,256,64,0.329558
ArrayMultiReduce,16384,256,64,0.308080
ArrayMulti,16384,512,32,0.262762
ArrayMultiAdd,16384,512,32,0.318297
ArrayMultiReduce,16384,512,32,0.288273
ArrayMulti,16384,1024,16,0.288847
ArrayMultiAdd,16384,1024,16,0.322895
ArrayMultiReduce,16384,1024,16,0.275209
ArrayMulti,32768,8,4096,0.479534
ArrayMultiAdd,32768,8,4096,0.448932
ArrayMultiReduce,32768,8,4096,0.364583
ArrayMulti,32768,16,2048,0.548171
ArrayMultiAdd,32768,16,2048,0.522991
ArrayMultiReduce,32768,16,2048,0.462074
ArrayMulti,32768,32,1024,0.568642
ArrayMultiAdd,32768,32,1024,0.589109
ArrayMultiReduce,32768,32,1024,0.552599
ArrayMulti,32768,64,512,0.632648
ArrayMultiAdd,32768,64,512,0.655688
ArrayMultiReduce,32768,64,512,0.600377
ArrayMulti,32768,128,256,0.653439
ArrayMultiAdd,32768,128,256,0.649991
ArrayMultiReduce,32768,128,256,0.607670
ArrayMulti,32768,256,128,0.633345
ArrayMultiAdd,32768,256,128,0.664436
ArrayMultiReduce,32768,256,128,0.575150
ArrayMulti,32768,512,64,0.642346
ArrayMultiAdd,32768,512,64,0.628824
ArrayMultiReduce,32768,512,64,0.545170
ArrayMulti,32768,1024,32,0.628956
ArrayMultiAdd,32768,1024,32,0.636050
ArrayMultiReduce,32768,1024,32,0.503581
ArrayMulti,65536,8,8192,0.784881
ArrayMultiAdd,65536,8,8192,0.677403
ArrayMultiReduce,65536,8,8192,0.527079
ArrayMulti,65536,16,4096,0.957863
ArrayMultiAdd,65536,16,4096,0.872929
ArrayMultiReduce,65536,16,4096,0.700830
ArrayMulti,65536,32,2048,1.077080
ArrayMultiAdd,65536,32,2048,1.043750
ArrayMultiReduce,65536,32,2048,0.855372
ArrayMulti,65536,64,1024,1.096121
ArrayMultiAdd,65536,64,1024,1.157042
ArrayMultiReduce,65536,64,1024,1.022243
ArrayMulti,65536,128,512,1.310248
ArrayMultiAdd,65536,128,512,1.262712
ArrayMultiReduce,65536,128,512,1.128919
ArrayMulti,65536,256,256,1.191520
ArrayMultiAdd,65536,256,256,1.213383
ArrayMultiReduce,65536,256,256,0.996927
ArrayMulti,65536,512,128,1.224995
ArrayMultiAdd,65536,512,128,1.226531
ArrayMultiReduce,65536,512,128,0.978091
ArrayMulti,65536,1024,64,1.169409
ArrayMultiAdd,65536,1024,64,1.210000
ArrayMultiReduce,65536,1024,64,0.931504
ArrayMulti,131072,8,16384,0.553925
ArrayMultiAdd,131072,8,16384,0.783422
ArrayMultiReduce,131072,8,16384,0.402476
ArrayMulti,131072,16,8192,0.629267
ArrayMultiAdd,131072,16,8192,1.198219
ArrayMultiReduce,131072,16,8192,0.513233
ArrayMulti,131072,32,4096,0.691582
ArrayMultiAdd,131072,32,4096,1.616357
ArrayMultiReduce,131072,32,4096,0.619861
ArrayMulti,131072,64,2048,0.746577
ArrayMultiAdd,131072,64,2048,1.982365
ArrayMultiReduce,131072,64,2048,0.668223
ArrayMulti,131072,128,1024,0.777386
ArrayMultiAdd,131072,128,1024,2.123724
ArrayMultiReduce,131072,128,1024,0.718817
ArrayMulti,131072,256,512,0.674128
ArrayMultiAdd,131072,256,512,2.039841
ArrayMultiReduce,131072,256,512,0.683789
ArrayMulti,131072,512,256,0.756461
ArrayMultiAdd,131072,512,256,2.054323
ArrayMultiReduce,131072,512,256,0.666785
ArrayMulti,131072,1024,128,0.765849
ArrayMultiAdd,131072,1024,128,2.114439
ArrayMultiReduce,131072,1024,128,0.648759
ArrayMulti,262144,8,32768,0.783797
ArrayMultiAdd,262144,8,32768,0.629559
ArrayMultiReduce,262144,8,32768,0.526258
ArrayMulti,262144,16,16384,1.039532
ArrayMultiAdd,262144,16,16384,0.904887
ArrayMultiReduce,262144,16,16384,0.751219
ArrayMulti,262144,32,8192,1.243155
ArrayMultiAdd,262144,32,8192,1.116347
ArrayMultiReduce,262144,32,8192,0.956929
ArrayMulti,262144,64,4096,1.337128
ArrayMultiAdd,262144,64,4096,1.280188
ArrayMultiReduce,262144,64,4096,1.159565
ArrayMulti,262144,128,2048,1.256406
ArrayMultiAdd,262144,128,2048,1.316863
ArrayMultiReduce,262144,128,2048,1.266470
ArrayMulti,262144,256,1024,1.397088
ArrayMultiAdd,262144,256,1024,1.337476
ArrayMultiReduce,262144,256,1024,1.198586
ArrayMulti,262144,512,512,1.423976
ArrayMultiAdd,262144,512,512,1.120527
ArrayMultiReduce,262144,512,512,1.178043
ArrayMulti,262144,1024,256,1.395638
ArrayMultiAdd,262144,1024,256,1.300472
ArrayMultiReduce,262144,1024,256,1.073995
ArrayMulti,524288,8,65536,1.021624
ArrayMultiAdd,524288,8,65536,0.778427
ArrayMultiReduce,524288,8,65536,0.626951
ArrayMulti,524288,16,32768,1.465277
ArrayMultiAdd,524288,16,32768,1.236590
ArrayMultiReduce,524288,16,32768,0.955252
ArrayMulti,524288,32,16384,2.066135
ArrayMultiAdd,524288,32,16384,1.712783
ArrayMultiReduce,524288,32,16384,1.378175
ArrayMulti,524288,64,8192,2.359182
ArrayMultiAdd,524288,64,8192,2.085930
ArrayMultiReduce,524288,64,8192,1.805592
ArrayMulti,524288,128,4096,2.478962
ArrayMultiAdd,524288,128,4096,2.133238
ArrayMultiReduce,524288,128,4096,2.027260
ArrayMulti,524288,256,2048,2.387305
ArrayMultiAdd,524288,256,2048,2.228235
ArrayMultiReduce,524288,256,2048,1.979185
ArrayMulti,524288,512,1024,2.390287
ArrayMultiAdd,524288,512,1024,2.187505
ArrayMultiReduce,524288,512,1024,1.769181
ArrayMulti,524288,1024,512,2.334194
ArrayMultiAdd,524288,1024,512,2.092740
ArrayMultiReduce,524288,1024,512,1.631979
ArrayMulti,1048576,8,131072,1.255574
ArrayMultiAdd,1048576,8,131072,0.865598
ArrayMultiReduce,1048576,8,131072,0.699124
ArrayMulti,1048576,16,65536,1.850107
ArrayMultiAdd,1048576,16,65536,1.416374
ArrayMultiReduce,1048576,16,65536,1.119509
ArrayMulti,1048576,32,32768,2.784663
ArrayMultiAdd,1048576,32,32768,2.178144
ArrayMultiReduce,1048576,32,32768,1.744939
ArrayMulti,1048576,64,16384,3.436647
ArrayMultiAdd,1048576,64,16384,2.705221
ArrayMultiReduce,1048576,64,16384,2.442246
ArrayMulti,1048576,128,8192,3.893623
ArrayMultiAdd,1048576,128,8192,2.946241
ArrayMultiReduce,1048576,128,8192,3.046804
ArrayMulti,1048576,256,4096,3.885702
ArrayMultiAdd,1048576,256,4096,3.029201
ArrayMultiReduce,1048576,256,4096,2.848524
ArrayMulti,1048576,512,2048,3.881545
ArrayMultiAdd,1048576,512,2048,2.990847
ArrayMultiReduce,1048576,512,2048,2.528316
ArrayMulti,1048576,1024,1024,3.764517
ArrayMultiAdd,1048576,1024,1024,3.007023
ArrayMultiReduce,1048576,1024,1024,2.261949
ArrayMulti,2097152,8,262144,1.389545
ArrayMultiAdd,2097152,8,262144,0.930580
ArrayMultiReduce,2097152,8,262144,0.741464
ArrayMulti,2097152,16,131072,2.455960
ArrayMultiAdd,2097152,16,131072,1.673805
ArrayMultiReduce,2097152,16,131072,1.237235
ArrayMulti,2097152,32,65536,3.804620
ArrayMultiAdd,2097152,32,65536,2.706411
ArrayMultiReduce,2097152,32,65536,2.011437
ArrayMulti,2097152,64,32768,4.556995
ArrayMultiAdd,2097152,64,32768,3.740372
ArrayMultiReduce,2097152,64,32768,2.971737
ArrayMulti,2097152,128,16384,5.144189
ArrayMultiAdd,2097152,128,16384,3.789276
ArrayMultiReduce,2097152,128,16384,3.805904
ArrayMulti,2097152,256,8192,4.810412
ArrayMultiAdd,2097152,256,8192,3.613947
ArrayMultiReduce,2097152,256,8192,3.612982
ArrayMulti,2097152,512,4096,5.420398
ArrayMultiAdd,2097152,512,4096,3.884903
ArrayMultiReduce,2097152,512,4096,3.224924
ArrayMulti,2097152,1024,2048,5.380955
ArrayMultiAdd,2097152,1024,2048,4.080737
ArrayMultiReduce,2097152,1024,2048,2.751486
ArrayMulti,4194304,8,524288,1.451545
ArrayMultiAdd,4194304,8,524288,0.968027
ArrayMultiReduce,4194304,8,524288,0.752922
ArrayMulti,4194304,16,262144,2.671666
ArrayMultiAdd,4194304,16,262144,1.744444
ArrayMultiReduce,4194304,16,262144,1.281240
ArrayMulti,4194304,32,131072,4.307288
ArrayMultiAdd,4194304,32,131072,2.879966
ArrayMultiReduce,4194304,32,131072,2.181744
ArrayMulti,4194304,64,65536,5.954765
ArrayMultiAdd,4194304,64,65536,4.100802
ArrayMultiReduce,4194304,64,65536,3.405775
ArrayMulti,4194304,128,32768,6.383558
ArrayMultiAdd,4194304,128,32768,4.577835
ArrayMultiReduce,4194304,128,32768,4.799963
ArrayMulti,4194304,256,16384,6.360152
ArrayMultiAdd,4194304,256,16384,4.423863
ArrayMultiReduce,4194304,256,16384,4.054610
ArrayMulti,4194304,512,8192,6.051112
ArrayMultiAdd,4194304,512,8192,4.389138
ArrayMultiReduce,4194304,512,8192,3.311258
ArrayMulti,4194304,1024,4096,6.259557
ArrayMultiAdd,4194304,1024,4096,4.435010
ArrayMultiReduce,4194304,1024,4096,2.891331
ArrayMulti,8388608,8,1048576,1.480693
ArrayMultiAdd,8388608,8,1048576,0.982872
ArrayMultiReduce,8388608,8,1048576,0.768654
ArrayMulti,8388608,16,524288,2.763438
ArrayMultiAdd,8388608,16,524288,1.832738
ArrayMultiReduce,8388608,16,524288,1.314277
ArrayMulti,8388608,32,262144,4.738874
ArrayMultiAdd,8388608,32,262144,3.129117
ArrayMultiReduce,8388608,32,262144,2.244126
ArrayMulti,8388608,64,131072,6.818604
ArrayMultiAdd,8388608,64,131072,4.140932
ArrayMultiReduce,8388608,64,131072,3.680195
ArrayMulti,8388608,128,65536,7.474626
ArrayMultiAdd,8388608,128,65536,5.291849
ArrayMultiReduce,8388608,128,65536,5.076095
ArrayMulti,8388608,256,32768,7.343046
ArrayMultiAdd,8388608,256,32768,5.187016
ArrayMultiReduce,8388608,256,32768,4.469969
ArrayMulti,8388608,512,16384,7.348430
ArrayMultiAdd,8388608,512,16384,5.238663
ArrayMultiReduce,8388608,512,16384,3.796580
ArrayMulti,8388608,1024,8192,7.195679
ArrayMultiAdd,8388608,1024,8192,5.170289
ArrayMultiReduce,8388608,1024,8192,3.178566
